task,metric,n_paired,delta,delta_lo,delta_hi,delta_se,p_boot,family,model_s,k_hi,k_lo,model_hi,model_lo,sig,q_cot,gain,gain_lo,gain_hi,ceiling_bm25,ceiling_recency,resolved,n_boot,seed
LaMP-3,mae,99,-0.040404040404040414,-0.10101010101010102,0.020202020202020193,0.03130701614031444,0.264,signal_step,opus,2.0,1.0,opus,opus,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.0505050505050505,-0.11111111111111113,0.010101010101010083,0.030531756217713424,0.121,signal_step,opus,4.0,2.0,opus,opus,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.010101010101010083,-0.05050505050505051,0.030303030303030304,0.021864106247626264,0.83,signal_step,opus,8.0,4.0,opus,opus,,,,,,,,0,2000,12345
LaMP-3,mae,99,0.020202020202020193,-0.020202020202020193,0.07070707070707072,0.02419155421576393,0.575,signal_step,opus,16.0,8.0,opus,opus,,,,,,,,0,2000,12345
LaMP-3,mae,99,0.0,-0.04040404040404041,0.040404040404040414,0.02055074185519934,1.0,signal_step,opus,32.0,16.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.024553425366203918,-0.01183484714262861,0.06279894915505788,0.019962119764803506,0.225,signal_step,haiku,1.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.00911512594240399,-0.018687800617744995,0.03691375388347628,0.014378157585390251,0.525,signal_step,haiku,2.0,1.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.004964728679429931,-0.030253277122765293,0.019202664927404613,0.012732409628515736,0.693,signal_step,haiku,16.0,8.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.005082605162997023,-0.03187512899106803,0.022298502084187908,0.014223280630530298,0.726,signal_step,haiku,32.0,16.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.006030259394396165,-0.034589783633543564,0.04601371085384554,0.020306745382333097,0.791,signal_step,sonnet,1.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.016743389371861483,-0.018818086970053844,0.05245415671225745,0.018343192099627426,0.383,signal_step,sonnet,2.0,1.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.027780252362112123,-0.00486302118876332,0.06108964296540164,0.016952951268031008,0.097,signal_step,sonnet,4.0,2.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.032461481768354505,-0.06947423112865679,0.00481952070490501,0.019350637245372875,0.093,signal_step,sonnet,8.0,4.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.00971675465014421,-0.028360960018948566,0.044403174173954806,0.01868959118440902,0.621,signal_step,sonnet,16.0,8.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,98,0.01595098157786856,-0.020365129611267435,0.05263739539405669,0.01877492229274293,0.385,signal_step,sonnet,32.0,16.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.0008149306168194204,-0.04279671196050552,0.03991646252630712,0.020742058269450653,0.946,signal_step,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,0.015096353143543295,-0.012974568650347311,0.04377963461321421,0.014726798693974632,0.302,signal_step,opus,2.0,1.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.0010902392262908123,-0.03468595104410367,0.03262371031824226,0.01734714569075273,0.958,signal_step,opus,4.0,2.0,opus,opus,,,,,,,,0,2000,12345
LaMP-5,rouge_1,99,-0.009646797518814199,-0.03458022073387744,0.014596832032184736,0.012424398015126611,0.443,signal_step,opus,8.0,4.0,opus,opus,,,,,,,,0,2000,12345
